YEAR,MONTH,MONTH_NAME,total_flights,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,diversion_rate
2019,1,January,59271,12.621534983381418,13.085117511093115,0.17959879198933712,0.028108181066626176,0.0
2019,2,February,54385,16.144598694492966,16.83758389261745,0.2265882136618553,0.028721154730164566,0.0
2019,3,March,64789,12.173239284446433,11.95179737301085,0.1673740912809273,0.020296655296423775,0.0
2019,4,April,61926,13.327051642282724,13.213012305009205,0.17664631980105286,0.023996382779446435,0.0
2019,5,May,64759,14.186985592736145,14.426473540357325,0.19648234222270264,0.021186244383020122,0.0
2019,6,June,64530,18.276057647605764,18.620083682008367,0.2420734542073454,0.019525801952580194,0.0
2019,7,July,66958,16.377266346067685,16.296559037008272,0.2052928701574121,0.01998267570715971,0.0
2019,8,August,67285,15.55076168536821,15.684892620940774,0.2019766664189641,0.016749647023853755,0.0
2019,9,September,61853,9.829401969185003,9.856078120705543,0.13595136856740983,0.015456000517355666,0.0
2019,10,October,64737,11.093300585445727,11.210389730756754,0.16542317376461682,0.007522745879481595,0.0
2019,11,November,61561,9.83903770244148,9.732379266093794,0.14293140137424667,0.007488507334188853,0.0
2019,12,December,63636,14.791517380099314,14.642340813376077,0.2027783015902948,0.008862907788044503,0.0
2020,1,January,62039,9.79275939328487,9.5417398733055,0.1355115330679089,0.012121407501732781,0.0
2020,2,February,58373,10.864012471519366,10.88583763041132,0.1487674095900502,0.009062408990457918,0.0
2020,3,March,66230,5.490321606522724,5.554310735316322,0.08295334440585837,0.16882077608334592,0.0
2020,4,April,32048,1.9392785821268097,1.9215551672491262,0.02823889166250624,0.41656265601597603,0.0
2020,5,May,18612,3.268643885665162,3.1106812808940467,0.044218783580485706,0.06619385342789598,0.0
2020,6,June,23106,4.092573357569463,4.173677832597594,0.06344672379468537,0.0031593525491214404,0.0
2020,7,July,36005,5.313734203582836,5.819164004999306,0.08446049159838911,0.007776697680877656,0.0
2020,8,August,38443,4.821163800952059,5.237598522487839,0.07788153890175065,0.01019691491298806,0.0
2020,9,September,32748,4.21772321973861,4.335989984121167,0.06183583730304141,0.005313301575668743,0.0
2020,10,October,35882,5.2329858982219495,5.717546402095758,0.08366311799788195,0.005211526670754138,0.0
2020,11,November,37270,4.50327341024953,4.997290045613093,0.07491279849745103,0.005446740005366246,0.0
2020,12,December,37824,7.429674280879865,8.084152918781726,0.117332910321489,0.010681049069373942,0.0
2021,1,January,36848,6.960350629613547,7.29184759009987,0.09759009986973513,0.010801128962223187,0.0
2021,2,February,33661,9.474198627491756,10.51599774219423,0.13835001931018093,0.055435073230147645,0.0
2021,3,March,45072,6.776490947816827,6.657170749023784,0.10039492367767128,0.01211395101171459,0.0
2021,4,April,45683,7.701880349364096,7.5945975527001295,0.10717334675918833,0.005406825296061992,0.0
2021,5,May,50283,9.691943599228367,9.348368235785454,0.13292762961637133,0.004494560785951515,0.0
2021,6,June,55210,17.710161202680673,17.45962687918855,0.23539213910523457,0.01624705669262815,0.0
2021,7,July,59455,18.867059120343118,18.59303675048356,0.24648894121604575,0.01584391556639475,0.0
2021,8,August,59293,16.35439259271752,16.13622181370482,0.2216787816437016,0.03084681159664716,0.0
2021,9,September,55023,10.014139541646221,9.660705523144866,0.13766970176108173,0.01221307453246824,0.0
2021,10,October,57303,12.822592185400415,12.123483936268608,0.17828036926513446,0.020347974800621258,0.0
2021,11,November,55813,10.51237166968269,9.74808736315912,0.14890796051099206,0.0067188647806066685,0.0
2021,12,December,56597,15.413219781967243,14.906673498595332,0.21479937099139532,0.024170892450129867,0.0
2022,1,January,54782,13.482421233251799,13.23097002665109,0.18102661458143185,0.06273958599539994,0.0
2022,2,February,50605,13.54702104535125,13.323169647268056,0.1876692026479597,0.04444224878964529,0.0
2022,3,March,57608,15.358908484932648,15.275447854464657,0.21243577280933204,0.016282460769337592,0.0
2022,4,April,56594,15.691822454677174,15.596158603385518,0.2215782591794183,0.02272325688235502,0.0
2022,5,May,58893,14.814697841848776,14.54714482196526,0.20561017438405244,0.02010425687263342,0.0
2022,6,June,58965,17.881098957008394,17.427914864750274,0.235275163232426,0.030679216484355124,0.0
2022,7,July,60551,17.506861984112565,17.082475929381843,0.23031824412478738,0.017225149047910025,0.0
2022,8,August,60001,16.29426176230396,15.895868402193297,0.21647972533791104,0.024099598340027666,0.0
2022,9,September,56912,11.117409333708181,10.779554399775092,0.16145979758223222,0.0149880517289851,0.0
2022,10,October,58485,11.129349405830554,10.684226724801231,0.15704881593571002,0.008754381465332991,0.0
2022,11,November,55968,12.686678101772442,12.689143796455117,0.18985849056603774,0.011238564894225271,0.0
2022,12,December,56845,19.577130794265106,19.58619051807547,0.2525991731902542,0.0538657753540329,0.0
2023,1,January,55192,15.72102840991448,16.046510363820843,0.215610958109871,0.019821713291781416,0.0
2023,2,February,50940,13.06454652532391,13.0650765606596,0.18374558303886926,0.01927758146839419,0.0
2023,3,March,58866,16.245999388441547,16.779889919478137,0.2405123500832399,0.012910678490130126,0.0
2023,4,April,57135,16.47946092587731,16.71843878533298,0.22662116040955632,0.017974971558589306,0.0
2023,5,May,59324,13.124738722945182,12.763299844919425,0.17921920302069988,0.005512103027442519,0.0
2023,6,June,58443,20.82721626199887,20.91191417278374,0.2630084013483223,0.020823708570744143,0.0
2023,7,July,61039,23.33866871999869,23.234391126984388,0.28126279919395797,0.02447615458968856,0.0
2023,8,August,61283,16.950051400877893,16.60674248976062,0.21412137134278675,0.014816507024786646,0.0
