DAY_OF_WEEK,DAY_NAME,total_flights,avg_arr_delay,delay_rate,cancellation_rate
1,Monday,445559,13.385917465475952,0.18119036985000864,0.026795553450833672
2,Tuesday,415698,11.158499680056195,0.1565703948539565,0.024763169416258918
3,Wednesday,421784,11.718346357377236,0.1650133717732299,0.026923733474954005
4,Thursday,445834,13.77626874576636,0.18939336165478632,0.028385004284105744
5,Friday,445245,14.033100877045221,0.1952520522409011,0.026064301676605017
6,Saturday,383336,12.835713316776927,0.1710744620906985,0.02516069453429889
7,Sunday,435486,13.830933715435169,0.18713345549569907,0.02674253592537992
