ORIGIN,DEST,ROUTE,total_flights,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_distance,avg_air_time
ABE,ATL,ABE → ATL,398,16.34170854271357,16.371859296482413,0.15326633165829145,0.01256281407035176,692.0,101.53015075376885
ABE,BNA,ABE → BNA,48,18.208333333333332,21.166666666666668,0.2916666666666667,0.08333333333333333,685.0,92.72916666666667
ABE,CLT,ABE → CLT,482,7.755186721991701,6.136929460580913,0.08506224066390042,0.026970954356846474,481.0,79.58713692946058
ABE,DEN,ABE → DEN,1,19.0,0.0,0.0,0.0,1539.0,203.0
ABE,DTW,ABE → DTW,291,16.68041237113402,16.00343642611684,0.15120274914089346,0.013745704467353952,425.0,76.3298969072165
ABE,FLL,ABE → FLL,34,11.176470588235293,13.588235294117647,0.23529411764705882,0.029411764705882353,1041.0,140.55882352941177
ABE,MDW,ABE → MDW,3,8.666666666666666,8.666666666666666,0.3333333333333333,0.0,646.0,90.66666666666667
ABE,MYR,ABE → MYR,48,12.958333333333334,13.5,0.14583333333333334,0.0,518.0,76.0625
ABE,ORD,ABE → ORD,271,11.977859778597786,8.92988929889299,0.17712177121771217,0.02952029520295203,654.2435424354244,104.39114391143912
ABE,PGD,ABE → PGD,75,16.76,23.133333333333333,0.29333333333333333,0.02666666666666667,1018.0,139.46666666666667
ABE,PIE,ABE → PIE,108,23.40740740740741,26.055555555555557,0.21296296296296297,0.027777777777777776,970.0,133.80555555555554
ABE,SAV,ABE → SAV,14,4.0,3.0714285714285716,0.07142857142857142,0.07142857142857142,669.0,87.92857142857143
ABE,SFB,ABE → SFB,214,19.38785046728972,21.560747663551403,0.19626168224299065,0.04205607476635514,882.0,121.1822429906542
ABE,SRQ,ABE → SRQ,31,1.5806451612903225,8.774193548387096,0.1935483870967742,0.03225806451612903,1000.0,136.90322580645162
ABI,DFW,ABI → DFW,840,12.483333333333333,13.929761904761905,0.18333333333333332,0.02857142857142857,158.0,34.18333333333333
ABI,IAH,ABI → IAH,61,17.459016393442624,17.16393442622951,0.09836065573770492,0.04918032786885246,307.0,52.57377049180328
ABQ,ATL,ABQ → ATL,345,5.484057971014493,6.915942028985508,0.0927536231884058,0.017391304347826087,1269.0,149.93623188405797
ABQ,AUS,ABQ → AUS,253,9.454545454545455,8.628458498023715,0.16600790513833993,0.015810276679841896,619.0,79.28458498023716
ABQ,BUR,ABQ → BUR,60,17.05,15.15,0.2,0.016666666666666666,672.0,97.98333333333333
ABQ,BWI,ABQ → BWI,117,7.0,6.555555555555555,0.11965811965811966,0.042735042735042736,1670.0,188.95726495726495
ABQ,DAL,ABQ → DAL,662,9.634441087613293,9.262839879154079,0.1646525679758308,0.03323262839879154,580.0,78.61631419939577
ABQ,DEN,ABQ → DEN,1027,12.3777994157741,12.740993184031158,0.17429406037000975,0.024342745861733205,349.0,55.43622200584226
ABQ,DFW,ABQ → DFW,1127,15.162377994676131,15.713398402839397,0.18633540372670807,0.03194321206743567,569.0,75.93522626441882
ABQ,HOU,ABQ → HOU,334,9.161676646706587,8.404191616766466,0.1467065868263473,0.014970059880239521,759.0,97.75748502994011
ABQ,IAH,ABQ → IAH,419,11.276849642004773,12.221957040572793,0.16467780429594273,0.02386634844868735,744.0,100.11933174224343
ABQ,JFK,ABQ → JFK,116,46.85344827586207,44.560344827586206,0.33620689655172414,0.0603448275862069,1826.0,201.60344827586206
ABQ,LAS,ABQ → LAS,583,14.873070325900514,14.18696397941681,0.2195540308747856,0.036020583190394515,486.0,70.15608919382504
ABQ,LAX,ABQ → LAX,759,8.171277997364953,8.35836627140975,0.13306982872200263,0.010540184453227932,677.0,97.38603425559947
ABQ,MCI,ABQ → MCI,66,15.045454545454545,14.878787878787879,0.30303030303030304,0.030303030303030304,718.0,88.31818181818181
ABQ,MCO,ABQ → MCO,9,13.0,10.88888888888889,0.2222222222222222,0.0,1553.0,186.44444444444446
ABQ,MDW,ABQ → MDW,233,12.30901287553648,10.111587982832617,0.15021459227467812,0.034334763948497854,1121.0,133.84978540772534
ABQ,MSP,ABQ → MSP,36,7.5,5.583333333333333,0.08333333333333333,0.0,981.0,125.08333333333333
ABQ,OAK,ABQ → OAK,180,7.411111111111111,6.322222222222222,0.13333333333333333,0.016666666666666666,889.0,123.94444444444444
ABQ,ORD,ABQ → ORD,407,9.28992628992629,9.383292383292384,0.12039312039312039,0.03194103194103194,1118.0,136.16216216216216
ABQ,PDX,ABQ → PDX,93,8.21505376344086,8.591397849462366,0.13978494623655913,0.0,1111.0,158.48387096774192
ABQ,PHX,ABQ → PHX,1349,9.99925871015567,9.3765752409192,0.1334321719792439,0.025203854707190512,328.0,54.668643439584876
ABQ,SAN,ABQ → SAN,214,10.700934579439252,10.11214953271028,0.12149532710280374,0.04205607476635514,628.0,88.69158878504673
ABQ,SAT,ABQ → SAT,11,1.1818181818181819,2.4545454545454546,0.09090909090909091,0.0,609.0,79.72727272727273
ABQ,SEA,ABQ → SEA,194,9.31958762886598,8.417525773195877,0.16494845360824742,0.015463917525773196,1180.0,162.35051546391753
ABQ,SFB,ABQ → SFB,5,0.0,0.0,0.0,0.2,1548.0,148.4
ABQ,SFO,ABQ → SFO,228,28.94298245614035,28.00438596491228,0.18421052631578946,0.021929824561403508,896.0,127.75438596491227
ABQ,SJC,ABQ → SJC,29,13.482758620689655,11.275862068965518,0.20689655172413793,0.13793103448275862,870.0,108.55172413793103
ABQ,SLC,ABQ → SLC,408,8.286764705882353,8.485294117647058,0.0784313725490196,0.004901960784313725,493.0,77.3921568627451
ABR,MSP,ABR → MSP,332,18.370481927710845,18.68975903614458,0.10240963855421686,0.012048192771084338,257.0,45.274096385542165
ABY,ATL,ABY → ATL,435,7.335632183908046,7.501149425287356,0.0896551724137931,0.011494252873563218,145.0,36.35402298850575
ACK,BOS,ACK → BOS,81,24.098765432098766,24.25925925925926,0.24691358024691357,0.04938271604938271,91.0,24.185185185185187
ACK,CLT,ACK → CLT,5,42.2,43.8,0.4,0.0,723.0,116.4
