ORIGIN,ORIGIN_CITY,total_departures,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_taxi_out
ABE,"Allentown/Bethlehem/Easton, PA",2018,14.024777006937562,13.964816650148663,0.15758176412289396,0.02527254707631318,14.155104063429137
ABI,"Abilene, TX",901,12.820199778024417,14.148723640399556,0.17758046614872364,0.029966703662597113,12.749167591564929
ABQ,"Albuquerque, NM",9264,11.711463730569948,11.541774611398964,0.1564119170984456,0.025259067357512953,13.129209844559586
ABR,"Aberdeen, SD",332,18.370481927710845,18.68975903614458,0.10240963855421686,0.012048192771084338,14.548192771084338
ABY,"Albany, GA",435,7.335632183908046,7.501149425287356,0.0896551724137931,0.011494252873563218,12.940229885057471
ACK,"Nantucket, MA",594,27.116161616161616,27.74074074074074,0.23063973063973064,0.045454545454545456,14.83838383838384
ACT,"Waco, TX",718,13.774373259052926,14.837047353760445,0.15877437325905291,0.04735376044568245,11.696378830083566
ACV,"Arcata/Eureka, CA",841,19.42092746730083,20.278240190249704,0.14863258026159334,0.04637336504161712,11.909631391200952
ACY,"Atlantic City, NJ",1349,10.255003706449221,11.586360266864345,0.16456634544106746,0.0340993328391401,11.202372127501853
ADK,"Adak Island, AK",41,21.21951219512195,20.21951219512195,0.4146341463414634,0.0,9.75609756097561
ADQ,"Kodiak, AK",373,6.833780160857909,8.214477211796247,0.1581769436997319,0.05361930294906166,9.040214477211796
AEX,"Alexandria, LA",1186,11.036256323777403,11.991568296795952,0.15177065767284992,0.02866779089376054,15.419055649241146
AGS,"Augusta, GA",1829,12.089666484417714,11.60087479496993,0.1443411700382723,0.02241662110442865,15.344450519409513
AKN,"King Salmon, AK",153,10.718954248366012,11.49673202614379,0.20915032679738563,0.0457516339869281,8.032679738562091
ALB,"Albany, NY",4863,12.858523545136746,13.327369936253342,0.16718075262183837,0.036602920008225376,13.346493933785728
ALO,"Waterloo, IA",268,9.261194029850746,10.645522388059701,0.12686567164179105,0.05970149253731343,12.033582089552239
ALS,"Alamosa, CO",87,24.724137931034484,24.011494252873565,0.11494252873563218,0.06896551724137931,16.82758620689655
ALW,"Walla Walla, WA",162,9.975308641975309,9.925925925925926,0.06172839506172839,0.037037037037037035,7.54320987654321
AMA,"Amarillo, TX",2190,14.542465753424658,15.053424657534247,0.1589041095890411,0.045205479452054796,13.092237442922375
ANC,"Anchorage, AK",8386,7.733961364178392,8.412592415931314,0.13582160744097305,0.01788695444788934,14.634509897448128
APN,"Alpena, MI",286,11.98951048951049,11.041958041958042,0.13636363636363635,0.024475524475524476,10.804195804195805
ART,"Watertown, NY",21,24.095238095238095,20.142857142857142,0.19047619047619047,0.14285714285714285,13.285714285714286
ASE,"Aspen, CO",2847,27.73375482964524,28.749912188268354,0.2672989111345276,0.09518791710572533,19.56480505795574
ATL,"Atlanta, GA",153210,10.605234645258143,10.198642386267215,0.15562952809868807,0.016062920174923306,15.343097709026827
ATW,"Appleton, WI",2028,12.215976331360947,13.5034516765286,0.16321499013806706,0.021696252465483234,16.187869822485208
